exists	file_name	run_name	trip	time_per_frame	recorded_quench_frame	recorded_isotherm_frame	recorded_isotherm_time	recorded_crystallization_frame	time_quench_start	time_isotherm_reached	k_est_bulk	time_crystallization_estimate_bulk	potential_issues	popcorn	single_or_poly	run_issues	sample_size_in_cm	beam_size_in_cm	sample_volume	notebook_page_number	sample_cycle_index	sample_number	unwarped_or_raw	temperature_offset	recorded_melt	recorded_quench	corrected_melt	corrected_quench
x	220150b1.txt	220150b1	BNL 04/06	9.28	3	227		17	27.84	2106.56			yes			unknown sample size				73					220	150	220	150
x	230065a2.txt	230065a2	BNL 04/06	9.28	3	13		100	27.84	120.64				yes			0.048	0.03	3.22E-05	87	9	2	unwarped	3	230	65	233	68
x	230095a4.txt	230095a4	BNL 04/06	9.28	3	9		12	27.84	83.52				yes			0.048	0.03	3.22E-05	97	7	4	unwarped	5	230	95	235	100
x	230100a2.txt	230100a2	BNL 04/06	9.28	4	8		9	37.12	74.24				yes			0.068	0.03	4.69E-05	85	1	2	unwarped	0	230	100	230	100
x	230105a4.txt	230105a4	BNL 04/06	9.28	3	7		12	27.84	64.96				yes	single	single xtal	0.048	0.03	3.22E-05	99	11	4	raw	3	230	105	233	108
x	230110a2.txt	230110a2	BNL 04/06	9.28	3	6		6	27.84	55.68				yes		@110°C@frame6 w/ spots	0.068	0.03	4.69E-05	85	3	2	unwarped	0	230	110	230	110
x	230110b2.txt	230110b2	BNL 04/06	9.28	3	5		5	27.84	46.4				yes			0.068	0.03	4.69E-05	85	4	2	unwarped	0	230	110	230	110
x	230110c4.txt	230110c4	BNL 04/06	9.28	3			30	27.84	27.84				yes			0.048	0.03	3.22E-05	96	6	4	unwarped	6	230	110	236	116
x	230115a4.txt	230115a4	BNL 04/06	9.28	3			31	27.84	27.84			yes	yes		popcorn	0.048	0.03	3.22E-05	95	5	4	unwarped	7	230	115	237	122
x	230120a2.txt	230120a2	BNL 04/06	9.28	6	8		8	55.68	74.24				yes			0.068	0.03	4.69E-05	86	5	2	unwarped	0	230	120	230	120
x	230120b4.txt	230120b4	BNL 04/06	9.28	3			23	27.84	27.84			yes	yes		potential popcorn	0.048	0.03	3.22E-05	94	3	4	unwarped	7	230	120	237	127
x	230120c4.txt	230120c4	BNL 04/06	9.28	3			19	27.84	27.84				yes			0.048	0.03	3.22E-05	95	4	4	unwarped	1	230	120	231	121
x	230120d4.txt	230120d4	BNL 04/06	9.28	3	6		14	27.84	55.68				yes	single	single xtal	0.048	0.03	3.22E-05	98	10	4	raw	4	230	120	234	124
x	230130a2.txt	230130a2	BNL 04/06	9.28	3	5		82	27.84	46.4				yes			0.068	0.03	4.69E-05	86	6	2	unwarped	0	230	130	230	130
x	230130b2.txt	230130b2	BNL 04/06	9.28	3			45	27.84	27.84				yes			0.068	0.03	4.69E-05	86	7	2	unwarped	0	230	130	230	130
x	230130c2.txt	230130c2	BNL 04/06	9.28	3			20	27.84	27.84				yes			0.048	0.03	3.22E-05	88	10	2	raw	6	230	130	236	136
x	230130d3.txt	230130d3	BNL 04/06	9.28	3	4		14	27.84	37.12				yes			0.048	0.03	3.22E-05	90	2	3	unwarped	-4	230	130	226	126
x	230130e4.txt	230130e4	BNL 04/06	9.28	2			13	18.56	18.56				yes	streak	streaky spots	0.048	0.03	3.22E-05	93	2	4	raw	2	230	130	232	132
x	230135a3.txt	230135a3	BNL 04/06	9.28	3			271	27.84	27.84			yes	yes		changed isotherm temperature to induce crystallization	0.048	0.03	3.22E-05	90	3	3	unwarped	-4	230	135	226	131
x	230140a2.txt	230140a2	BNL 04/06	9.28	3	5		256	27.84	46.4			yes	yes		changed isotherm temperature to induce crystallization	0.068	0.03	4.69E-05	86	8	2	unwarped	0	230	140	230	140
x	230140c1.txt	230140c1	BNL 04/06	9.28	3			5	27.84	27.84							0.068	0.03	4.69E-05	81	2	1	unwarped	1	230	140	231	141
